Feature,MI_norm,F_norm,RF_norm,RFE_norm,Consensus_Score
tenure,1.0,1.0,1.0,1.0,1.0
Contract_Two year,0.8900316599389344,0.7097065571668619,0.6986124773627762,1.0,0.8245876736171431
InternetService_Fiber optic,0.7126662566020167,0.7399317056438984,0.4178472161675186,1.0,0.7176112946033584
PaymentMethod_Electronic check,0.5769014124960129,0.7079767020156167,0.315525173357582,1.0,0.6501008219673029
TotalCharges,0.577116597132034,0.2886961926668333,0.692600537932705,1.0,0.6396033319328931
MonthlyCharges,0.6568785870538963,0.273832565948556,0.44809001914361063,1.0,0.5947002930365157
StreamingMovies_No internet service,0.4307147944247431,0.3864338826555432,0.09400645182766451,1.0,0.47778878222698773
TechSupport_No internet service,0.39818355466769867,0.3864338826555432,0.126109113158201,1.0,0.4776816376203607
StreamingTV_No internet service,0.44782405371620193,0.3864338826555432,0.07210159144727885,1.0,0.476589881954756
OnlineBackup_No internet service,0.4069719845849215,0.3864338826555432,0.06795265859198901,1.0,0.4653396314581134
Contract_One year,0.2623454737377207,0.23013239148649478,0.2509032363964496,1.0,0.43584527540516627
PaperlessBilling_Yes,0.27028114855913116,0.26933945815377286,0.07163232564628717,1.0,0.4028132330897978
DeviceProtection_No internet service,0.3445824769809592,0.3864338826555432,0.1041779955255962,0.4666666666666667,0.3254652554571913
StreamingMovies_Yes,0.13470238562059064,0.026191642358921012,0.029031270834402132,1.0,0.29748132470347843
OnlineSecurity_No internet service,0.5953619212206327,0.3864338826555432,0.07709139446586732,0.1111111111111111,0.2924995773632886
StreamingTV_Yes,0.0,0.02782943058759412,0.025761673393290316,1.0,0.26339777599522113
MultipleLines_Yes,0.0,0.010854505344707941,0.032146291691317934,1.0,0.26075019925900644
InternetService_No,0.45321490620819216,0.3864338826555432,0.04868260374481747,0.0857142857142857,0.24351141958070965
OnlineSecurity_Yes,0.17704199266294657,0.21283656512779955,0.2156466194635276,0.28888888888888886,0.22360351653579064
Dependents_Yes,0.29072422350597693,0.19526248912420577,0.05241335586086178,0.14666666666666667,0.17126668378942778
TechSupport_Yes,0.11801637630847232,0.19637219166897918,0.13540502126989282,0.2,0.16244839731183608
SeniorCitizen,0.2609073947674342,0.16405303655837436,0.03228851307655152,0.06666666666666667,0.13097890276725668
Partner_Yes,0.19217499025594345,0.1630684439793637,0.034452031472647276,0.004444444444444444,0.09853497753809971
PaymentMethod_Credit card (automatic),0.13457355950330982,0.1292292615907072,0.02406882719107907,0.022222222222222216,0.07752346762682956
OnlineBackup_Yes,0.08019208252271008,0.04759558632193491,0.046827872135945955,0.015384615384615389,0.047500039091301585
PaymentMethod_Mailed check,0.06443888253132359,0.059357452329043374,0.020425466416029388,0.04000000000000001,0.046055450319099085
DeviceProtection_Yes,0.0,0.030531881803818807,0.027702702776483127,0.05185185185185184,0.027521609108038445
PhoneService_Yes,0.009647018997857295,0.00048358327207532434,0.006973187491586483,0.030303030303030307,0.011851705016137352
gender_Male,0.0,0.0,0.028855499702955416,0.00952380952380952,0.009594827306691233
MultipleLines_No phone service,0.0,0.00048358327207532434,0.0,0.0,0.00012089581801883109
