,PC1,PC2,PC3
SeniorCitizen,-0.07216722041614353,-0.05961135959068504,-0.1359151145217275
tenure,-0.07156062821707454,0.4379600196635296,0.05757861774238254
MonthlyCharges,-0.28244847511618626,0.08347026834097332,-0.22185268960381893
TotalCharges,-0.18490260804843697,0.37646383142780226,-0.04868217052762253
gender_Male,0.0035497336480549936,-0.0021868793866092616,0.00745577807811214
Partner_Yes,-0.025339538031094674,0.2614678685457589,0.046963559562987485
Dependents_Yes,0.041260511134710576,0.18583627439884748,0.11317708312776535
PhoneService_Yes,0.030103647578062446,0.11598925214736533,-0.5113307064386964
MultipleLines_No phone service,-0.030103647578062442,-0.11598925214736545,0.5113307064386965
MultipleLines_Yes,-0.11094487656850781,0.1845400738736324,-0.2631811564018552
InternetService_Fiber optic,-0.17950748798135346,-0.04047204493147479,-0.3534214170447833
InternetService_No,0.30231422636406147,0.11740362262281338,-0.06680196523259273
OnlineSecurity_No internet service,0.30231422636406147,0.11740362262281338,-0.06680196523259276
OnlineSecurity_Yes,-0.12178473240018997,0.17344511579766617,0.18877059292451331
OnlineBackup_No internet service,0.30231422636406147,0.11740362262281338,-0.06680196523259273
OnlineBackup_Yes,-0.15317882346710265,0.16879168546618378,0.06396723949914644
DeviceProtection_No internet service,0.30231422636406147,0.11740362262281336,-0.06680196523259273
DeviceProtection_Yes,-0.15952619663118012,0.19398418440447004,0.0696240778344054
TechSupport_No internet service,0.30231422636406147,0.11740362262281336,-0.06680196523259271
TechSupport_Yes,-0.12945961944720377,0.19192796536857992,0.18172380330128277
StreamingTV_No internet service,0.30231422636406147,0.11740362262281336,-0.06680196523259266
StreamingTV_Yes,-0.17904664074056492,0.14252947800289276,-0.05094154358122423
StreamingMovies_No internet service,0.3023142263640615,0.11740362262281336,-0.06680196523259266
StreamingMovies_Yes,-0.18003832049522905,0.14283970138398183,-0.04392908392485624
Contract_One year,-0.0023200690825103815,0.09566756155792142,0.04487650503395572
Contract_Two year,0.03710112636267504,0.3527768061502979,0.10917901261270668
PaperlessBilling_Yes,-0.11956739397356234,-0.06470627054845826,-0.13074992633170032
PaymentMethod_Credit card (automatic),-0.013932253396132358,0.18338280741282328,0.0801146341885997
PaymentMethod_Electronic check,-0.09410830652716,-0.2140257081453808,-0.18297395517738163
PaymentMethod_Mailed check,0.13244787054521184,-0.05449536365838771,0.10088088082523519
