max_depth,Train_ROC_AUC,Test_ROC_AUC,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,AUC_Gap
1,0.6730628227618678,0.6950269963057686,0.7346467873624423,0.7345635202271115,0.0,0.0,-0.02196417354390079
2,0.7626583255290043,0.7779082383941719,0.791089811856585,0.78708303761533,0.5019043588658485,0.494949494949495,-0.015249912865167636
3,0.8091649623735719,0.8167661267405513,0.791089811856585,0.78708303761533,0.5019043588658485,0.494949494949495,-0.007601164366979329
4,0.8293600073046903,0.8284920819447672,0.7925097621583245,0.7955997161107168,0.5583679637325274,0.5714285714285714,0.000867925359923083
5,0.8476371669760115,0.8267043839933865,0.8022719204827831,0.794180269694819,0.6010028653295129,0.5821325648414986,0.02093278298262502
6,0.8626432151627275,0.8219005915936863,0.8106141285055023,0.8005677785663591,0.5972064930162325,0.5696784073506891,0.040742623569041125
7,0.8803819771308242,0.8096075847994006,0.8225062122825701,0.7877927608232789,0.6405463695183321,0.5672937771345875,0.07077439233142357
8,0.8980817107197141,0.8011302281123254,0.8358182463613774,0.7828246983676366,0.6741810496653752,0.5831062670299727,0.09695148260738873
9,0.9205860559600698,0.7734183264873802,0.8528576499822507,0.7714691270404542,0.7138419054193994,0.5589041095890411,0.14716772947268963
10,0.9425676794921624,0.7464827301144437,0.8727369542066028,0.7544357700496807,0.7570315147407658,0.5286103542234333,0.1960849493777187
11,0.9625806727910787,0.7105324343176005,0.8968761093361732,0.7480482611781405,0.8024481468888133,0.5062586926286509,0.25204823847347824
12,0.9763768412223721,0.6989692319615592,0.916222932197373,0.7452093683463449,0.837465564738292,0.49222065063649223,0.27740760926081287
13,0.986493837475486,0.6922976568756618,0.9375221867234647,0.7395315826827538,0.8825100133511349,0.49379310344827587,0.2941961805998242
14,0.9930753312361977,0.6784300808597483,0.9531416400425985,0.7338537970191625,0.9111709286675639,0.4925575101488498,0.3146452503764494
15,0.9969873808240564,0.6804774083546461,0.9691160809371672,0.7416607523066004,0.9419225634178905,0.5054347826086957,0.31650997246941026
16,0.9987708888693164,0.66569273295616,0.979765708200213,0.7366926898509581,0.9617706237424547,0.5033467202141901,0.33307815591315637
17,0.9994649960688807,0.6643248340179286,0.9870429534966276,0.730305180979418,0.9756260434056762,0.49333333333333335,0.3351401620509521
18,0.9997543555428783,0.6551137978247953,0.9909478168264111,0.7281760113555713,0.9829602405613097,0.4886515353805073,0.344640557718083
19,0.9998572999633958,0.6628510165594564,0.9927227547035854,0.7388218594748048,0.9862277460530736,0.5,0.33700628340393934
20,0.9999308316923368,0.6564920302771965,0.9952076677316294,0.7345635202271115,0.9909487093530004,0.4945945945945946,0.34343880141514027
